Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"PTC[17:0]","OffPage","01 MCU","1","SCHEMATIC1","","1180","1390","3A","page(2,3)"
"PTD[15:0]","OffPage","01 MCU","1","SCHEMATIC1","","1180","1410","3A","page(2)"
"PTD0","OffPage","02 Sensor","2","SCHEMATIC1","J3.1","190","1380","5B","page(1)"
"RESET_B","OffPage","01 MCU","1","SCHEMATIC1","C16.2,D1.2,J1.10,R7.1,R8.2,U1.74","1090","620","3C","Property Not Present"
"PTD1","OffPage","02 Sensor","2","SCHEMATIC1","J3.2","190","1390","5B","page(1)"
"PTD2","OffPage","02 Sensor","2","SCHEMATIC1","J3.3","190","1400","5B","page(1)"
"PTD3","OffPage","02 Sensor","2","SCHEMATIC1","J3.4","190","1410","5B","page(1)"
"PTC11","OffPage","02 Sensor","2","SCHEMATIC1","J2.3","190","1220","5B","page(1)"
"PTD8","OffPage","02 Sensor","2","SCHEMATIC1","R25.1","170","1690","5B","page(1)"
"PTE[28:24]","OffPage","01 MCU","1","SCHEMATIC1","","1180","1450","3A","page(2)"
"PTE25","OffPage","02 Sensor","2","SCHEMATIC1","R14.2,U2.6,U3.3","1650","660","3C","page(1,2)"
"PTE25","OffPage","02 Sensor","2","SCHEMATIC1","R14.2,U2.6,U3.3","420","620","5C","page(1,2)"
"PTE24","OffPage","02 Sensor","2","SCHEMATIC1","R13.2,U2.4,U3.2","420","600","5C","page(1,2)"
"PTE24","OffPage","02 Sensor","2","SCHEMATIC1","R13.2,U2.4,U3.2","1650","650","3C","page(1,2)"
"PTE[12:0]","OffPage","01 MCU","1","SCHEMATIC1","","1180","1430","3A","Property Not Present"
"PTE27","OffPage","02 Sensor","2","SCHEMATIC1","U2.9","890","620","4C","page(1)"
"PTA[17:0]","OffPage","01 MCU","1","SCHEMATIC1","","1180","1310","3A","page(2)"
"PTE28","OffPage","02 Sensor","2","SCHEMATIC1","U3.7","1320","760","3C","page(1)"
"PTD5","OffPage","02 Sensor","2","SCHEMATIC1","R22.1","170","1540","5B","page(1)"
"PTD6","OffPage","02 Sensor","2","SCHEMATIC1","R23.1","170","1590","5B","page(1)"
"PTD7","OffPage","02 Sensor","2","SCHEMATIC1","R24.1","170","1640","5B","page(1)"
"ADC0_DM0/ADC1_DM3","OffPage","01 MCU","1","SCHEMATIC1","U1.28","990","410","3C","Property Not Present"
"ADC0_DP0/AD1_DP3","OffPage","01 MCU","1","SCHEMATIC1","U1.27","990","400","3C","Property Not Present"
"ADC0_DP1","OffPage","01 MCU","1","SCHEMATIC1","U1.23","990","340","3D","Property Not Present"
"ADC0_DM1","OffPage","01 MCU","1","SCHEMATIC1","U1.24","990","350","3D","Property Not Present"
"ADC1_DM0/ADC0_DM3","OffPage","01 MCU","1","SCHEMATIC1","U1.30","990","440","3C","Property Not Present"
"ADC1_SE16/ADC0_SE22","OffPage","01 MCU","1","SCHEMATIC1","U1.35","990","320","3D","Property Not Present"
"ADC1_DP1","OffPage","01 MCU","1","SCHEMATIC1","U1.25","990","370","3C","Property Not Present"
"ADC0_SE16/ADC0_SE21","OffPage","01 MCU","1","SCHEMATIC1","U1.36","990","310","3D","Property Not Present"
"DAC0_OUT","OffPage","01 MCU","1","SCHEMATIC1","U1.38","1090","480","3C","Property Not Present"
"ADC1_DP0/ADC0_DP3","OffPage","01 MCU","1","SCHEMATIC1","U1.29","990","430","3C","Property Not Present"
"ADC1_DM1","OffPage","01 MCU","1","SCHEMATIC1","U1.26","990","380","3C","Property Not Present"
"DAC1_OUT","OffPage","01 MCU","1","SCHEMATIC1","U1.39","1090","500","3C","Property Not Present"
"K64_MICRO_USB_DP","OffPage","01 MCU","1","SCHEMATIC1","R3.2","1280","540","2C","Property Not Present"
"K64_MICRO_USB_DN","OffPage","01 MCU","1","SCHEMATIC1","R5.2","1280","560","2C","Property Not Present"
"PTE26","OffPage","02 Sensor","2","SCHEMATIC1","U2.11","890","600","4C","page(1)"
"PTB7","OffPage","04 ADC","4","SCHEMATIC1","C55.1,R38.2","960","1060","4C","page(1)"
"PTB[11:0]","OffPage","01 MCU","1","SCHEMATIC1","","1180","1350","3A","page(3,4)"
"PTB11","OffPage","04 ADC","4","SCHEMATIC1","C57.1,R40.2","960","1080","4C","page(1)"
"PTB1","OffPage","03 PWM","3","SCHEMATIC1","U6.3","240","870","5C","page(1)"
"PTB10","OffPage","04 ADC","4","SCHEMATIC1","C56.1,R39.2","960","1070","4C","page(1)"
"PTB0","OffPage","03 PWM","3","SCHEMATIC1","U6.2","240","860","5C","page(1)"
"PTB6","OffPage","04 ADC","4","SCHEMATIC1","C54.1,R37.2","960","1050","4C","page(1)"
"PTB3","OffPage","04 ADC","4","SCHEMATIC1","C51.1,R34.2","960","1020","4C","page(1)"
"PTB2","OffPage","04 ADC","4","SCHEMATIC1","C50.1,R33.2","960","1010","4C","page(1)"
"PTB[23:16]","OffPage","01 MCU","1","SCHEMATIC1","","1180","1370","3A","page(3)"
"PTB19","OffPage","03 PWM","3","SCHEMATIC1","U6.5","240","890","5C","page(1)"
"PTB5","OffPage","04 ADC","4","SCHEMATIC1","C53.1,R36.2","960","1040","4C","page(1)"
"PTB4","OffPage","04 ADC","4","SCHEMATIC1","C52.1,R35.2","960","1030","4C","page(1)"
"PTB18","OffPage","03 PWM","3","SCHEMATIC1","U6.4","240","880","5C","page(1)"
"PTA6","OffPage","02 Sensor","2","SCHEMATIC1","U3.6","1320","770","3C","page(1)"
"VREGIN","OffPage","01 MCU","1","SCHEMATIC1","C15.2,R2.1,U1.22","1190","220","2D","Property Not Present"
"PTA[29:24]","OffPage","01 MCU","1","SCHEMATIC1","","1180","1330","3A","Property Not Present"
"PTC1","OffPage","03 PWM","3","SCHEMATIC1","U5.2","240","430","5D","page(1)"
"PTC2","OffPage","03 PWM","3","SCHEMATIC1","U5.3","240","440","5D","page(1)"
"PTC3","OffPage","03 PWM","3","SCHEMATIC1","U5.4","240","450","5D","page(1)"
"PTC4","OffPage","03 PWM","3","SCHEMATIC1","U5.5","240","460","5D","page(1)"
"PTC10","OffPage","02 Sensor","2","SCHEMATIC1","J2.2","190","1210","5B","page(1)"
